strain	accession	date	country
A/Nebraska/02/2008	EU885520	2008-01-22	USA
A/Nebraska/02/2011	KC883201	2011-01-07	USA
A/Nebraska/03/2008	EU852003	2008-01-24	USA
A/Nebraska/05/2011	KC882488	2011-01-20	USA
A/Nebraska/07/2012	KC892297	2012-02-06	USA
A/Nebraska/08/2008	GQ385902	2008-12-22	USA
A/Nebraska/08/2011	KC882624	2011-01-27	USA
A/Nebraska/08/2012	KC892975	2012-03-05	USA
A/Nebraska/09/2011	KC882533	2011-02-25	USA
A/Nebraska/09/2012	KC892909	2012-03-05	USA
A/Nebraska/11/2011	KC883139	2011-04-04	USA
A/Nebraska/12/2011	KC883223	2011-03-10	USA
A/Nebraska/14/2011	KC892391	2011-11-02	USA
A/Nebraska/21/2009	KC535381	2009-09-25	USA
A/Nelson_Marlborough/1/2000	CY009124	2000-02-04	New Zealand
A/Nepal/921/2006_X_PR8_X_165	EU100702	2006-12-19	Nepal
A/Netherlands/009/2010	CY114501	2010-04-21	Netherlands
A/Netherlands/034/2010	CY114509	2010-12-23	Netherlands
A/Netherlands/063/2011	CY114421	2011-01-05	Netherlands
A/Netherlands/1/1995	CY114221	1995-01-11	Netherlands
A/Netherlands/1/2002	CY112941	2002-01-07	Netherlands
A/Netherlands/101/1993	CY114045	1993-02-15	Netherlands
A/Netherlands/109/2003	CY112973	2003-03-17	Netherlands
A/Netherlands/115/1993	CY112597	1993-02-18	Netherlands
A/Netherlands/118/2001	CY112925	2001-03-14	Netherlands
A/Netherlands/120/2002	CY114341	2002-02-26	Netherlands
A/Netherlands/124/2001	CY114325	2001-03-20	Netherlands
A/Netherlands/126/1993	CY114053	1993-02-23	Netherlands
A/Netherlands/126/2001	CY114333	2001-03-21	Netherlands
A/Netherlands/132/2004	CY112989	2004-12-04	Netherlands
A/Netherlands/165/1993	CY114061	1993-03-05	Netherlands
A/Netherlands/17/1993	CY112589	1993-01-01	Netherlands
A/Netherlands/179/1993	CY112605	1993-02-26	Netherlands
A/Netherlands/18/1994	CY114157	1994-01-05	Netherlands
A/Netherlands/20/2003	CY112949	2003-02-18	Netherlands
A/Netherlands/213/2003	HQ166052	2003-04-20	Netherlands
A/Netherlands/217/2003	CY112981	2003-04-20	Netherlands
A/Netherlands/22/2003	CY112957	2003-02-23	Netherlands
A/Netherlands/222/2003	CY114357	2003-04-14	Netherlands
A/Netherlands/241/1993	CY112613	1993-10-13	Netherlands
A/Netherlands/271/1995	CY112797	1995-12-02	Netherlands
A/Netherlands/3/1992	CY112581	1992-11-22	Netherlands
A/Netherlands/3/2000	CY114317	2000-01-06	Netherlands
A/Netherlands/300/1997	CY114301	1997-12-23	Netherlands
A/Netherlands/301/1999	CY114493	1999-10-01	Netherlands
A/Netherlands/312/2003	CY114365	2003-09-25	Netherlands
A/Netherlands/348/2007	CY114413	2007-11-06	Netherlands
A/Netherlands/357/1993	CY114069	1993-12-06	Netherlands
A/Netherlands/363/2006	CY114397	2006-12-24	Netherlands
A/Netherlands/371/1993	CY112621	1993-12-02	Netherlands
A/Netherlands/372/1993	CY114077	1993-12-01	Netherlands
A/Netherlands/377/2008	CY113013	2008-09-27	Netherlands
A/Netherlands/398/1993	CY114085	1993-11-27	Netherlands
A/Netherlands/399/1993	CY112629	1993-12-09	Netherlands
A/Netherlands/414/1998	CY112893	1998-05-12	Netherlands
A/Netherlands/42/2006	CY114389	2006-02-25	Netherlands
A/Netherlands/427/1998	CY112901	1998-11-16	Netherlands
A/Netherlands/462/1998	CY114309	1998-12-16	Netherlands
A/Netherlands/5/1998	CY114485	1998-01-14	Netherlands
A/Netherlands/548/2005	CY112997	2005-12-26	Netherlands
A/Netherlands/69/2007	CY114405	2007-02-19	Netherlands
A/Netherlands/69/2009	CY113021	2009-01-12	Netherlands
A/Netherlands/761/2009	CY113037	2009-06-25	Netherlands
A/Netherlands/88/2003	CY112965	2003-03-05	Netherlands
A/Netherlands/91/1996	CY114285	1996-01-30	Netherlands
A/Nevada/01/2012	KC892812	2012-01-10	USA
A/Nevada/02/2008	GQ895037	2008-12-16	USA
A/Nevada/03/2010	KC535447	2010-07-27	USA
A/Nevada/04/2010	KC882764	2010-11-05	USA
A/Nevada/04/2011	KC883336	2011-01-27	USA
A/Nevada/05/2007	EU516044	2007-10-05	USA
A/Nevada/06/2009	GQ385887	2009-04-08	USA
A/Nevada/06/2011	KC883408	2011-03-07	USA
A/Nevada/07/2011	KC882609	2011-02-08	USA
A/Nevada/08/2011	KC883086	2011-04-04	USA
A/Nevada/09/2012	KC892635	2012-03-01	USA
A/Nevada/10/2012	KC892600	2012-03-05	USA
A/Nevada/11/2011	KC892608	2011-11-04	USA
A/Nevada/12/2012	KC892845	2012-03-30	USA
A/Nevada/13/2012	KC892879	2012-03-12	USA
A/Nevada/14/2012	KC892876	2012-03-13	USA
A/Nevada/15/2012	KC892874	2012-03-04	USA
A/Nevada/16/2012	KC892871	2012-03-02	USA
A/Nevada/18/2012	KC892206	2012-04-02	USA
A/Nevada/19/2012	KC892221	2012-04-06	USA
A/Nevada/20/2012	KC892224	2012-04-03	USA
A/Nevada/WRAIR1258P/2009	CY093327	2009-02-01	USA
A/New_Hampshire/01/2009	GQ385889	2009-02-16	USA
A/New_Hampshire/01/2011	KC883342	2011-01-17	USA
A/New_Hampshire/02/2011	KC882935	2011-01-13	USA
A/New_Hampshire/04/2009	GQ385825	2009-02-28	USA
A/New_Hampshire/04/2010	KC882834	2010-11-23	USA
A/New_Hampshire/04/2011	KC882938	2011-02-01	USA
A/New_Hampshire/04/2012	KC892317	2012-02-20	USA
A/New_Hampshire/05/2011	KC882941	2011-01-31	USA
A/New_Hampshire/05/2012	KC892626	2012-03-04	USA
A/New_Hampshire/06/2011	KC883102	2011-03-01	USA
A/New_Hampshire/07/2011	KC883150	2011-04-11	USA
A/New_Hampshire/08/2012	KC892276	2012-04-10	USA
A/New_Hampshire/10/2011	KC892699	2011-12-28	USA
A/New_Jersey/01/2011	KC882563	2011-01-11	USA
A/New_Jersey/01/2012	KC893122	2012-02-03	USA
A/New_Jersey/02/2010	KC882553	2010-12-28	USA
A/New_Jersey/02/2011	KC882557	2011-01-11	USA
A/New_Jersey/03/2010	KC882888	2010-12-07	USA
A/New_Jersey/04/2007	EU199278	2007-01-27	USA
A/New_Jersey/04/2010	KC882883	2010-11-28	USA
A/New_Jersey/04/2011	KC882521	2011-02-03	USA
A/New_Jersey/05/2007	EU199279	2007-02-01	USA
A/New_Jersey/08/2011	KC892741	2011-10-06	USA
A/New_Jersey/14/2007	EU516033	2007-07-25	USA
A/New_Jersey/14/2008	EU885524	2008-04-04	USA
A/New_Jersey/15/2008	EU885516	2008-03-14	USA
A/New_Jersey/19/2007	EU516206	2007-12-19	USA
A/New_Jersey/21/2007	EU567012	2007-12-31	USA
A/New_Jersey/NHRC0001/2003	CY090965	2003-11-26	USA
A/New_Jersey/NHRC0001/2005	CY092217	2005-02-10	USA
A/New_Jersey/WRAIR1146P/2009	CY069469	2009-01-01	USA
A/New_Jersey/WRAIR1248P/2009	CY093287	2009-01-01	USA
A/New_Mexico/01/2007	EU199261	2007-01-13	USA
A/New_Mexico/01/2011	KC882914	2011-01-18	USA
A/New_Mexico/02/2007	EU199262	2007-01-16	USA
A/New_Mexico/02/2008	FJ179356	2008-05-10	USA
A/New_Mexico/02/2012	KC892370	2012-01-24	USA
A/New_Mexico/03/2009	GQ385932	2009-01-27	USA
A/New_Mexico/03/2011	KC883443	2011-01-24	USA
A/New_Mexico/04/2012	KC892552	2012-03-01	USA
A/New_Mexico/05/2010	KC882900	2010-11-30	USA
A/New_Mexico/07/2012	KC892822	2012-02-16	USA
A/New_Mexico/09/2011	KC883415	2011-04-07	USA
A/New_Mexico/09/2012	KC892209	2012-03-15	USA
A/New_Mexico/11/2011	KC883095	2011-03-08	USA
A/New_Mexico/11/2012	KC892954	2012-04-16	USA
A/New_Mexico/12/2011	KC892751	2011-12-29	USA
A/New_Mexico/WRAIR1139P/2009	CY069421	2009-02-09	USA
A/New_York/01/2012	KC893110	2012-01-15	USA
A/New_York/02/2007	EU199270	2007-01-30	USA
A/New_York/02/2012	KC893180	2012-01-16	USA
A/New_York/03/2007	EU199271	2007-02-01	USA
A/New_York/03/2009	GQ895027	2009-01-21	USA
A/New_York/04/2012	KC892456	2012-02-16	USA
A/New_York/05/2010	KC535419	2010-03-25	USA
A/New_York/05/2011	KC883129	2011-01-31	USA
A/New_York/06/2008	EU851999	2008-02-13	USA
A/New_York/06/2010	KC882652	2010-08-02	USA
A/New_York/06/2011	KC883156	2011-04-13	USA
A/New_York/07/2008	EU885509	2008-01-24	USA
A/New_York/07/2010	KC882606	2010-11-14	USA
A/New_York/07/2012	KC892889	2012-02-15	USA
A/New_York/08/2008	FJ549056	2008-02-13	USA
A/New_York/08/2011	KC883137	2011-03-01	USA
A/New_York/09/2008	FJ686946	2008-04-21	USA
A/New_York/1/2003	CY001021	2003-10-28	USA
A/New_York/10/2004	CY000761	2004-01-30	USA
A/New_York/100/2002	CY000225	2002-01-22	USA
A/New_York/101/2002	CY001104	2002-02-04	USA
A/New_York/102/2002	CY001317	2002-01-23	USA
A/New_York/103/2002	CY000417	2002-01-25	USA
A/New_York/104/2002	CY001184	2002-01-17	USA
A/New_York/105/2002	CY001128	2002-02-05	USA
A/New_York/106/2002	CY000489	2002-01-20	USA
A/New_York/107/2002	CY001144	2002-01-16	USA
A/New_York/108/2002	CY000497	2002-01-31	USA
A/New_York/109/2002	CY000529	2002-01-30	USA
A/New_York/11/2003	CY000513	2003-10-31	USA
A/New_York/110/2002	CY000113	2002-01-29	USA
A/New_York/111/2002	CY000933	2002-02-04	USA
A/New_York/112/2002	CY001325	2002-01-29	USA
A/New_York/113/2002	CY000233	2002-01-31	USA
A/New_York/114/2002	CY000537	2002-03-05	USA
A/New_York/115/2002	CY000545	2002-02-07	USA
A/New_York/116/2002	CY000553	2002-01-30	USA
A/New_York/117/2002	CY000793	2002-02-01	USA
A/New_York/118/2002	CY001333	2002-01-30	USA
A/New_York/119/2002	CY000941	2002-01-29	USA
A/New_York/12/2003	CY000121	2003-12-13	USA
A/New_York/120/2002	CY000625	2002-02-19	USA
A/New_York/121/2002	CY000241	2002-02-26	USA
A/New_York/122/2002	CY001197	2002-03-21	USA
A/New_York/123/2004	CY003072	2004-12-16	USA
A/New_York/124/2001	CY000305	2001-11-27	USA
A/New_York/125/2002	CY001437	2002-01-14	USA
A/New_York/126/2002	CY001944	2002-03-01	USA
A/New_York/127/2001	CY000584	2001-12-31	USA
A/New_York/128/2002	CY000425	2002-01-25	USA
A/New_York/129/2002	CY000313	2002-02-12	USA
A/New_York/13/2003	CY000901	2003-11-12	USA
A/New_York/13/2007	EU516047	2007-09-10	USA
A/New_York/13/2010	KC882836	2010-12-01	USA
A/New_York/130/2002	CY000585	2002-03-11	USA
A/New_York/131/2001	CY000321	2001-12-23	USA
A/New_York/132/2002	CY000433	2002-01-27	USA
A/New_York/133/2002	CY000329	2002-02-06	USA
A/New_York/134/2002	CY000441	2002-01-04	USA
A/New_York/135/2002	CY000337	2002-02-14	USA
A/New_York/136/2002	CY001237	2002-03-19	USA
A/New_York/137/1999	CY001120	1999-10-04	USA
A/New_York/138/1999	CY000989	1999-10-03	USA
A/New_York/139/1999	CY001349	1999-12-04	USA
A/New_York/14/2003	CY000909	2003-12-03	USA
A/New_York/14/2011	KC892978	2011-10-02	USA
A/New_York/140/1999	CY002512	1999-12-27	USA
A/New_York/141/1999	CY000801	1999-11-09	USA
A/New_York/142/2000	CY001520	2000-02-06	USA
A/New_York/143/1999	CY000633	1999-11-26	USA
A/New_York/145/1999	CY001381	1999-11-09	USA
A/New_York/147/1999	CY000593	1999-11-23	USA
A/New_York/148/2000	CY000817	2000-02-09	USA
A/New_York/149/1999	CY000457	1999-11-29	USA
A/New_York/15/2003	CY000345	2003-11-12	USA
A/New_York/15/2012	KC892573	2012-04-04	USA
A/New_York/150/2000	CY000465	2000-01-28	USA
A/New_York/151/1999	CY000601	1999-12-04	USA
A/New_York/152/2000	CY001136	2000-01-18	USA
A/New_York/153/1999	CY002312	1999-12-09	USA
A/New_York/154/2000	CY000609	2000-01-24	USA
A/New_York/155/1999	CY001445	1999-12-07	USA
A/New_York/156/2000	CY001397	2000-01-05	USA
A/New_York/157/1999	CY000825	1999-12-15	USA
A/New_York/158/2000	CY000833	2000-01-17	USA
A/New_York/16/2003	CY000129	2003-11-11	USA
A/New_York/160/2000	CY000981	2000-01-03	USA
A/New_York/161/1999	CY000617	1999-12-16	USA
A/New_York/162/2000	CY001245	2000-02-09	USA
A/New_York/163/1999	CY000641	1999-12-22	USA
A/New_York/164/1999	CY001269	1999-12-27	USA
A/New_York/165/2000	CY000997	2000-01-18	USA
A/New_York/166/1999	CY000809	1999-12-24	USA
A/New_York/167/1999	CY000649	1999-12-30	USA
A/New_York/1670/2009	CY050452	2009-04-27	USA
A/New_York/1671/2009	CY050460	2009-04-27	USA
A/New_York/168/2000	CY000841	2000-01-03	USA
A/New_York/1685/2009	CY050468	2009-04-26	USA
A/New_York/169/2000	CY000657	2000-01-03	USA
A/New_York/17/2003	CY001053	2003-11-16	USA
A/New_York/170/2000	CY000665	2000-01-05	USA
A/New_York/171/1999	CY000673	1999-12-30	USA
A/New_York/172/1999	CY000681	1999-12-26	USA
A/New_York/173/2000	CY000689	2000-02-02	USA
A/New_York/174/2000	CY000697	2000-01-04	USA
A/New_York/175/2000	CY000705	2000-01-06	USA
A/New_York/176/2000	CY000713	2000-03-01	USA
A/New_York/177/1999	CY000721	1999-10-25	USA
A/New_York/178/2000	CY000849	2000-02-29	USA
A/New_York/179/1999	CY000729	1999-11-24	USA
A/New_York/18/2003	CY001061	2003-12-01	USA
A/New_York/180/2000	CY000737	2000-02-09	USA
A/New_York/181/1999	CY001176	1999-12-05	USA
A/New_York/182/2000	CY001277	2000-02-18	USA
A/New_York/183/1999	CY001357	1999-12-01	USA
A/New_York/184/1999	CY001453	1999-12-20	USA
A/New_York/185/1999	CY000745	1999-12-25	USA
A/New_York/186/1999	CY000857	1999-12-24	USA
A/New_York/187/2000	CY001365	2000-01-27	USA
A/New_York/188/1999	CY001528	1999-12-13	USA
A/New_York/189/1999	CY001005	1999-12-20	USA
A/New_York/19/2003	CY000249	2003-12-18	USA
A/New_York/190/2004	CY002608	2004-11-11	USA
A/New_York/191/2005	CY006123	2005-01-07	USA
A/New_York/192/2003	CY000753	2003-02-04	USA
A/New_York/193/2003	CY000865	2003-02-19	USA
A/New_York/194/2003	CY000873	2003-02-05	USA
A/New_York/195/2003	CY001461	2003-02-18	USA
A/New_York/196/2003	CY001536	2003-02-19	USA
A/New_York/197/2003	CY001544	2003-03-14	USA
A/New_York/198/2003	CY001013	2003-03-08	USA
A/New_York/199/2003	CY001253	2003-03-21	USA
A/New_York/2/2003	CY000473	2003-10-27	USA
A/New_York/20/2003	CY001421	2003-12-01	USA
A/New_York/20/2011	KC892758	2011-12-23	USA
A/New_York/200/2004	CY002768	2004-11-22	USA
A/New_York/201/2003	CY001373	2003-04-10	USA
A/New_York/202/2003	CY001160	2003-04-05	USA
A/New_York/203/2003	CY001469	2003-05-07	USA
A/New_York/20342/2010	CY070967	2010-06-16	USA
A/New_York/20343/2010	CY072214	2010-06-16	USA
A/New_York/204/2003	CY002520	2003-08-16	USA
A/New_York/206/2005	CY006131	2005-01-19	USA
A/New_York/207/2004	CY002288	2004-12-09	USA
A/New_York/21/2003	CY000353	2003-11-26	USA
A/New_York/210/2005	CY002776	2005-02-15	USA
A/New_York/213/2003	CY001405	2003-04-22	USA
A/New_York/214/2003	CY006859	2003-04-23	USA
A/New_York/215/2003	CY001552	2003-04-22	USA
A/New_York/216/2003	CY001560	2003-04-22	USA
A/New_York/218/2004	CY002504	2004-12-07	USA
A/New_York/22/2003	CY000361	2003-12-02	USA
A/New_York/224/1998	CY001568	1998-12-28	USA
A/New_York/23/2003	CY000193	2003-12-16	USA
A/New_York/232/2004	CY002784	2004-12-09	USA
A/New_York/236/2004	CY003408	2004-12-27	USA
A/New_York/237/2004	CY003416	2004-12-16	USA
A/New_York/238/2005	CY006139	2005-02-01	USA
A/New_York/24/2003	CY001088	2003-12-01	USA
A/New_York/240/1998	CY001477	1998-12-28	USA
A/New_York/243/2005	CY006147	2005-02-02	USA
A/New_York/244/2004	CY002080	2004-12-24	USA
A/New_York/245/2004	CY007643	2004-11-18	USA
A/New_York/247/1998	CY001504	1998-11-02	USA
A/New_York/248/1999	CY001688	1999-02-02	USA
A/New_York/249/1998	CY001485	1998-12-12	USA
A/New_York/25/2003	CY000769	2003-12-16	USA
A/New_York/250/1998	CY001493	1998-12-12	USA
A/New_York/251/1998	CY002544	1998-12-28	USA
A/New_York/252/1999	CY002552	1999-01-12	USA
A/New_York/253/1999	CY001576	1999-03-26	USA
A/New_York/254/1998	CY002120	1998-12-31	USA
A/New_York/255/1999	CY001696	1999-02-10	USA
A/New_York/256/1998	CY001584	1998-12-30	USA
A/New_York/257/1999	CY001704	1999-02-03	USA
A/New_York/258/2005	CY006155	2005-01-18	USA
A/New_York/259/1999	CY001592	1999-02-02	USA
A/New_York/26/2003	CY000137	2003-12-02	USA
A/New_York/260/1999	CY001960	1999-02-11	USA
A/New_York/261/1999	CY002560	1999-04-09	USA
A/New_York/262/1999	CY001600	1999-01-25	USA
A/New_York/263/1999	CY001413	1999-02-10	USA
A/New_York/264/1999	CY001608	1999-03-03	USA
A/New_York/265/1999	CY001616	1999-01-29	USA
A/New_York/266/1999	CY002336	1999-05-06	USA
A/New_York/267/2003	CY001624	2003-11-28	USA
A/New_York/268/2003	CY001632	2003-11-27	USA
A/New_York/269/2003	CY001640	2003-11-28	USA
A/New_York/27/2003	CY001112	2003-10-28	USA
A/New_York/270/2003	CY001648	2003-11-18	USA
A/New_York/271/2003	CY001712	2003-11-28	USA
A/New_York/272/2003	CY002344	2003-11-28	USA
A/New_York/273/2001	CY001720	2001-12-29	USA
A/New_York/274/2002	CY001728	2002-02-26	USA
A/New_York/275/2002	CY002128	2002-01-04	USA
A/New_York/276/2002	CY001736	2002-03-07	USA
A/New_York/277/1999	CY001744	1999-01-08	USA
A/New_York/278/1999	CY001968	1999-02-04	USA
A/New_York/279/1999	CY001752	1999-02-23	USA
A/New_York/28/2003	CY000009	2003-11-19	USA
A/New_York/28/2008	FJ686948	2008-05-13	USA
A/New_York/280/1999	CY001760	1999-04-12	USA
A/New_York/282/1999	CY001768	1999-02-11	USA
A/New_York/283/1999	CY002136	1999-02-12	USA
A/New_York/285/1999	CY002144	1999-01-25	USA
A/New_York/286/1999	CY001664	1999-03-19	USA
A/New_York/287/1998	CY001672	1998-12-29	USA
A/New_York/288/1999	CY001776	1999-02-26	USA
A/New_York/289/1998	CY001784	1998-12-04	USA
A/New_York/29/2003	CY000521	2003-12-12	USA
A/New_York/29/2008	FJ686942	2008-03-06	USA
A/New_York/290/1999	CY001792	1999-02-17	USA
A/New_York/3/2003	CY000881	2003-12-10	USA
A/New_York/3/2006	CY013797	2006-03-22	USA
A/New_York/30/2003	CY000017	2003-12-02	USA
A/New_York/3006/2009	CY050588	2009-04-28	USA
A/New_York/301/2001	CY002816	2001-01-21	USA
A/New_York/3011/2009	CY050596	2009-04-27	USA
A/New_York/3018/2009	CY050604	2009-04-27	USA
A/New_York/304/1998	CY001800	1998-12-30	USA
A/New_York/3051/2009	CY050484	2009-04-28	USA
A/New_York/3060/2009	CY050492	2009-04-27	USA
A/New_York/3061/2009	CY058748	2009-04-28	USA
A/New_York/3062/2009	CY050500	2009-04-28	USA
A/New_York/3064/2009	CY050508	2009-04-28	USA
A/New_York/3066/2009	CY050516	2009-04-28	USA
A/New_York/3078/2009	CY050524	2009-04-28	USA
A/New_York/3079/2009	CY050532	2009-04-27	USA
A/New_York/3087/2009	CY050540	2009-04-30	USA
A/New_York/31/2004	CY000369	2004-01-05	USA
A/New_York/3104/2009	CY050564	2009-04-29	USA
A/New_York/311/1999	CY001808	1999-03-01	USA
A/New_York/3127/2009	CY050572	2009-04-28	USA
A/New_York/313/1998	CY001816	1998-12-28	USA
A/New_York/3135/2009	CY050580	2009-05-02	USA
A/New_York/3137/2009	CY050620	2009-05-02	USA
A/New_York/3139/2009	CY050628	2009-04-29	USA
A/New_York/314/1999	CY001824	1999-02-03	USA
A/New_York/3143/2009	CY050724	2009-04-30	USA
A/New_York/3146/2009	CY050636	2009-05-01	USA
A/New_York/315/1999	CY001832	1999-01-06	USA
A/New_York/316/1999	CY002160	1999-01-26	USA
A/New_York/3164/2009	CY050668	2009-05-01	USA
A/New_York/317/1999	CY001840	1999-01-04	USA
A/New_York/318/1999	CY001848	1999-02-02	USA
A/New_York/319/2004	CY002712	2004-11-08	USA
A/New_York/32/2003	CY000025	2003-11-29	USA
A/New_York/320/1999	CY001856	1999-03-26	USA
A/New_York/321/1999	CY001864	1999-01-17	USA
A/New_York/322/1999	CY002168	1999-03-18	USA
A/New_York/323/1999	CY001872	1999-01-25	USA
A/New_York/324/1999	CY001976	1999-01-26	USA
A/New_York/325/1999	CY002368	1999-02-26	USA
A/New_York/326/1999	CY007635	1999-01-21	USA
A/New_York/327/1999	CY001880	1999-03-24	USA
A/New_York/3272/2009	CY050676	2009-04-29	USA
A/New_York/3273/2009	CY050684	2009-04-29	USA
A/New_York/3274/2009	CY050692	2009-04-27	USA
A/New_York/328/1998	CY002376	1998-12-28	USA
A/New_York/3280/2009	CY050708	2009-05-03	USA
A/New_York/329/1999	CY001888	1999-02-01	USA
A/New_York/3297/2009	CY050716	2009-04-27	USA
A/New_York/33/2004	CY000033	2004-01-09	USA
A/New_York/33/2008	FJ549030	2008-09-20	USA
A/New_York/330/1998	CY002384	1998-12-30	USA
A/New_York/3309/2009	CY050732	2009-05-05	USA
A/New_York/331/1999	CY001984	1999-01-28	USA
A/New_York/3316/2009	CY058756	2009-05-01	USA
A/New_York/3317/2009	CY050740	2009-04-28	USA
A/New_York/3318/2009	CY084385	2009-04-28	USA
A/New_York/332/1999	CY001992	1999-02-17	USA
A/New_York/333/1999	CY001896	1999-02-16	USA
A/New_York/334/2004	CY002408	2004-12-21	USA
A/New_York/335/1999	CY001904	1999-01-20	USA
A/New_York/336/1999	CY001912	1999-02-24	USA
A/New_York/3360/2009	CY058764	2009-05-06	USA
A/New_York/337/1999	CY001920	1999-03-08	USA
A/New_York/338/1999	CY001928	1999-02-08	USA
A/New_York/339/1999	CY002576	1999-02-09	USA
A/New_York/34/2003	CY000041	2003-12-03	USA
A/New_York/340/1999	CY001936	1999-01-23	USA
A/New_York/3417/2009	CY084393	2009-05-06	USA
A/New_York/3421/2009	CY080459	2009-05-04	USA
A/New_York/347/1999	CY002296	1999-01-19	USA
A/New_York/3470/2009	CY080467	2009-05-16	USA
A/New_York/3487/2009	CY050836	2009-05-11	USA
A/New_York/3491/2009	CY050788	2009-05-11	USA
A/New_York/3494/2009	CY058772	2009-05-13	USA
A/New_York/3496/2009	CY050796	2009-05-13	USA
A/New_York/35/2003	CY000049	2003-12-04	USA
A/New_York/351/2004	CY003032	2004-11-06	USA
A/New_York/3519/2009	CY080475	2009-05-15	USA
A/New_York/352/2005	CY002720	2005-01-04	USA
A/New_York/3527/2009	CY058780	2009-05-18	USA
A/New_York/353/2004	CY002416	2004-11-05	USA
A/New_York/3536/2009	CY050812	2009-05-15	USA
A/New_York/354/2004	CY003336	2004-12-28	USA
A/New_York/3542/2009	CY050804	2009-05-17	USA
A/New_York/355/2004	CY006115	2004-11-01	USA
A/New_York/356/2004	CY002176	2004-12-01	USA
A/New_York/357/2005	CY002184	2005-02-15	USA
A/New_York/358/2004	CY002584	2004-12-01	USA
A/New_York/359/2005	CY002000	2005-01-17	USA
A/New_York/36/2003	CY000057	2003-12-10	USA
A/New_York/360/2004	CY002424	2004-11-18	USA
A/New_York/361/2005	CY002008	2005-02-02	USA
A/New_York/362/2004	CY002432	2004-12-08	USA
A/New_York/3626/2009	CY058796	2009-05-19	USA
A/New_York/363/2004	CY002728	2004-12-15	USA
A/New_York/364/2004	CY003040	2004-12-28	USA
A/New_York/3644/2009	CY080483	2009-05-23	USA
A/New_York/365/2004	CY002440	2004-12-16	USA
A/New_York/366/2004	CY002192	2004-12-20	USA
A/New_York/367/2005	CY002448	2005-02-16	USA
A/New_York/368/2004	CY006435	2004-11-11	USA
A/New_York/3687/2009	CY055083	2009-05-24	USA
A/New_York/369/2005	CY002200	2005-01-03	USA
A/New_York/37/2003	CY001293	2003-12-04	USA
A/New_York/370/2004	CY002208	2004-12-20	USA
A/New_York/371/2004	CY002216	2004-12-09	USA
A/New_York/372/2004	CY002224	2004-12-22	USA
A/New_York/373/2005	CY002456	2005-02-22	USA
A/New_York/3738/2009	CY050820	2009-05-20	USA
A/New_York/374/2004	CY002232	2004-12-27	USA
A/New_York/3743/2009	CY055099	2009-05-20	USA
A/New_York/3745/2009	CY080450	2009-05-17	USA
A/New_York/375/2005	CY002240	2005-01-29	USA
A/New_York/3750/2009	CY089629	2009-05-21	USA
A/New_York/3752/2009	CY050828	2009-06-01	USA
A/New_York/376/2005	CY003048	2005-01-18	USA
A/New_York/378/2005	CY002016	2005-01-03	USA
A/New_York/379/2004	CY002024	2004-11-30	USA
A/New_York/38/2003	CY000777	2003-12-21	USA
A/New_York/380/2004	CY002600	2004-12-26	USA
A/New_York/381/2004	CY002248	2004-12-28	USA
A/New_York/382/2005	CY002032	2005-01-29	USA
A/New_York/383/2004	CY002256	2004-12-29	USA
A/New_York/384/2005	CY002464	2005-01-06	USA
A/New_York/385/2004	CY002472	2004-12-28	USA
A/New_York/386/2004	CY002040	2004-12-22	USA
A/New_York/387/2004	CY002048	2004-12-27	USA
A/New_York/388/2005	CY002264	2005-01-28	USA
A/New_York/389/2005	CY003344	2005-01-04	USA
A/New_York/3896/2009	CY058788	2009-06-04	USA
A/New_York/39/2003	CY001096	2003-12-04	USA
A/New_York/390/2005	CY002480	2005-01-05	USA
A/New_York/3904/2009	CY084401	2009-06-04	USA
A/New_York/391/2005	CY002056	2005-01-07	USA
A/New_York/3918/2009	CY084409	2009-06-05	USA
A/New_York/392/2004	CY002064	2004-12-21	USA
A/New_York/393/2005	CY002488	2005-03-23	USA
A/New_York/3932/2009	CY080491	2009-06-04	USA
A/New_York/394/2005	CY002736	2005-01-04	USA
A/New_York/395/2005	CY003056	2005-01-24	USA
A/New_York/396/2005	CY002072	2005-03-04	USA
A/New_York/397/1999	CY006163	1999-02-04	USA
A/New_York/398/1999	CY002304	1999-03-24	USA
A/New_York/4/2003	CY000505	2003-12-08	USA
A/New_York/40/2003	CY000145	2003-12-04	USA
A/New_York/401/2001	CY003080	2001-11-21	USA
A/New_York/4017/2009	CY084342	2009-06-11	USA
A/New_York/402/2001	CY003088	2001-12-27	USA
A/New_York/403/2002	CY003096	2002-01-04	USA
A/New_York/404/2002	CY003104	2002-01-05	USA
A/New_York/405/2002	CY003112	2002-01-07	USA
A/New_York/406/2002	CY003120	2002-01-08	USA
A/New_York/407/2002	CY003424	2002-01-08	USA
A/New_York/408/2002	CY003123	2002-01-11	USA
A/New_York/409/2002	CY003136	2002-01-14	USA
A/New_York/41/2003	CY000153	2003-12-08	USA
A/New_York/410/2002	CY003144	2002-01-15	USA
A/New_York/411/2002	CY003152	2002-01-22	USA
A/New_York/412/2002	CY003160	2002-02-01	USA
A/New_York/413/2002	CY003168	2002-02-08	USA
A/New_York/414/2002	CY003176	2002-02-12	USA
A/New_York/415/2002	CY003184	2002-02-22	USA
A/New_York/416/2002	CY003192	2002-02-28	USA
A/New_York/4165/2009	CY055091	2009-06-12	USA
A/New_York/418/2002	CY003200	2002-01-16	USA
A/New_York/419/2002	CY003208	2002-01-18	USA
