strain	virus	accession	date	region	country	division	location	passage	age	gender	originating_lab	submitting_lab
A/SaudiArabia/78018/2015	flu	EPI678154	2015-09-21	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	cell	?	?	Ministry Of Health Riyadh	Crick Worldwide Influenza Centre
A/Lao/SA407/2015	flu	EPI706625	2015-09-21	southeast_asia	laos	laos	laos	cell	20y	female	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Townsville/32/2015	flu	EPI750844	2015-09-21	oceania	australia	queensland	townsville	cell	6m	female	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
A/Bangladesh/910011/2015	flu	EPI746768	2015-09-21	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	25y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Victoria/3093/2015	flu	EPI750756	2015-09-21	oceania	australia	victoria	victoria	cell	?	female	Austin Health	Who Collaborating Centre For Reference And Research On Influenza
A/Victoria/664/2015	flu	EPI704095	2015-09-22	oceania	australia	victoria	victoria	cell	48y	male	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza
A/SaudiArabia/16/2015	flu	EPI966143	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/Lao/996/2015	flu	EPI731029	2015-09-22	southeast_asia	laos	laos	laos	cell	6y	male	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention
A/Lao/I983/2015	flu	EPI706561	2015-09-22	southeast_asia	laos	laos	laos	cell	12y	male	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Lao/I986/2015	flu	EPI706569	2015-09-22	southeast_asia	laos	laos	laos	cell	17y	male	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Wyoming/18/2015	flu	EPI671190	2015-09-22	north_america	usa	wyoming	wyoming	cell	85y	female	Wyoming Public Health Laboratory	Centers For Disease Control And Prevention
A/Cambodia/9/2015	flu	EPI746659	2015-09-22	southeast_asia	cambodia	cambodia	cambodia	cell	22y	female	National Public Health Laboratory	Centers For Disease Control And Prevention
A/SaudiArabia/15/2015	flu	EPI966142	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/Lao/I1002/2015	flu	EPI706577	2015-09-22	southeast_asia	laos	laos	laos	cell	12y	male	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/SaudiArabia/19/2015	flu	EPI966145	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/20/2015	flu	EPI966146	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/78279/2015	flu	EPI678164	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	cell	?	?	Ministry Of Health Riyadh	Crick Worldwide Influenza Centre
A/SaudiArabia/18/2015	flu	EPI966144	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/78063/2015	flu	EPI678156	2015-09-22	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	cell	?	?	Ministry Of Health Riyadh	Crick Worldwide Influenza Centre
A/Hunan-Suxian/1955/2015	flu	EPI697448	2015-09-22	china	china	hunan	hunan	cell	2y	male	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Victoria/3099/2015	flu	EPI750767	2015-09-23	oceania	australia	victoria	victoria	cell	?	female	Austin Health	Who Collaborating Centre For Reference And Research On Influenza
A/SaoPaulo/72317/2015	flu	EPI680511	2015-09-23	south_america	brazil	sao_paulo	sao_paulo	unpassaged	9m	male	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Cameroon/15V-6956/2015	flu	EPI1074799	2015-09-23	africa	cameroon	cameroon	cameroon	unpassaged	?	?	?	Other Database Import
A/SaoPaulo/3-37389/2015	flu	EPI680506	2015-09-23	south_america	brazil	sao_paulo	campinas	unpassaged	22y	female	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Lao/406/2015	flu	EPI730983	2015-09-23	southeast_asia	laos	laos	laos	cell	15y	female	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention
A/Mali/236CI/2015	flu	EPI688824	2015-09-23	africa	mali	mali	mali	unpassaged	?	male	Nic Lab Cvd Mali	Centers For Disease Control And Prevention
A/Iran/115843/2015	flu	EPI693007	2015-09-23	west_asia	iran	iran	iran	cell	65y	female	Tehran University Of Medical Sciences	Crick Worldwide Influenza Centre
A/SouthAustralia/1029/2015	flu	EPI750747	2015-09-24	oceania	australia	south_australia	south_australia	cell	?	female	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Victoria/640/2015	flu	EPI750758	2015-09-24	oceania	australia	victoria	victoria	cell	18y	male	Monash Medical Centre	Who Collaborating Centre For Reference And Research On Influenza
A/Montana/28/2015	flu	EPI685587	2015-09-24	north_america	usa	montana	montana	cell	72y	female	Montana Laboratory Services Bureau	Centers For Disease Control And Prevention
A/SaudiArabia/78572/2015	flu	EPI678166	2015-09-24	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	cell	?	?	Ministry Of Health Riyadh	Crick Worldwide Influenza Centre
A/SaudiArabia/78603/2015	flu	EPI678168	2015-09-24	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	cell	?	?	Ministry Of Health Riyadh	Crick Worldwide Influenza Centre
A/Yunnan-Qilin/1902/2015	flu	EPI697603	2015-09-25	china	china	yunnan	yunnan	cell	8y	female	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/SaudiArabia/29/2015	flu	EPI966154	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/Ghana/FS-15-0583/2015	flu	EPI715834	2015-09-25	africa	ghana	ghana	ghana	cell	9y	female	University Of Ghana	Crick Worldwide Influenza Centre
A/SaudiArabia/31/2015	flu	EPI966155	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/25/2015	flu	EPI966150	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/24/2015	flu	EPI966149	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/26/2015	flu	EPI966151	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/Alberta/RV2375/2015	flu	EPI676588	2015-09-25	north_america	canada	alberta	alberta	cell	73y	male	National Microbiology Laboratory, Health Canada	Centers For Disease Control And Prevention
A/SouthAustralia/133/2015	flu	EPI676251	2015-09-25	oceania	australia	south_australia	south_australia	cell	?	male	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/SaudiArabia/28/2015	flu	EPI966153	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/27/2015	flu	EPI966152	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	undetermined	?	?	?	Other Database Import
A/SaudiArabia/78764/2015	flu	EPI678170	2015-09-25	west_asia	saudi_arabia	saudi_arabia	saudi_arabia	cell	?	?	Ministry Of Health Riyadh	Crick Worldwide Influenza Centre
A/Stockholm/42/2015	flu	EPI662361	2015-09-26	europe	sweden	stockholm	stockholm	unpassaged	69y	male	?	Swedish Institute For Infectious Disease Control
A/Victoria/1013/2015	flu	EPI750812	2015-09-26	oceania	australia	victoria	victoria	cell	?	male	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Oman/4926/2015	flu	EPI731227	2015-09-27	west_asia	oman	oman	oman	cell	39y	male	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre
A/Lao/I1014/2015	flu	EPI706585	2015-09-28	southeast_asia	laos	laos	laos	cell	19y	female	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Hunan-Yueyanglou/1798/2015	flu	EPI697430	2015-09-28	china	china	hunan	hunan	cell	11y	female	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Kanagawa/65/2015	flu	EPI687107	2015-09-28	japan_korea	japan	kanagawa	kanagawa	cell	68y	female	Kanagawa Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)
A/Hawaii/61/2015	flu	EPI671243	2015-09-28	north_america	usa	hawaii	hawaii	unpassaged	76y	female	State Of Hawaii Department Of Health	Centers For Disease Control And Prevention
A/Shanghai-Jinshan/1792/2015	flu	EPI697451	2015-09-28	china	china	shanghai	shanghai	cell	56y	male	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/PuertoMontt/73064/2015	flu	EPI679046	2015-09-28	south_america	chile	los_lagos	puerto_montt	undetermined	22y	female	Instituto De Salud Publica De Chile 	Instituto De Salud Publica De Chile
A/Mali/238CI/2015	flu	EPI695594	2015-09-28	africa	mali	mali	mali	cell	1y	female	Nic Lab Cvd Mali	Centers For Disease Control And Prevention
A/England/335/2015	flu	EPI676532	2015-09-29	europe	united_kingdom	england	england	cell	1y	female	Health Protection Agency	Crick Worldwide Influenza Centre
A/Shandong-Fushan/1414/2015	flu	EPI1067825	2015-09-29	china	china	shandong	shandong	cell	?	?	?	Other Database Import
A/Cameroon/15v-7690/2015	flu	EPI1333798	2015-09-29	africa	cameroon	cameroon	cameroon	unpassaged	17y	?	Centre Pasteur Du Cameroun	University Of Buea
A/Oman/5009/2015	flu	EPI731231	2015-09-29	west_asia	oman	oman	oman	cell	57y	female	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre
A/Mali/241CI/2015	flu	EPI688847	2015-09-29	africa	mali	mali	mali	unpassaged	3y	male	Nic Lab Cvd Mali	Centers For Disease Control And Prevention
A/Cameroon/15v-7691/2015	flu	EPI1333795	2015-09-29	africa	cameroon	cameroon	cameroon	unpassaged	56y	?	Centre Pasteur Du Cameroun	University Of Buea
A/Lao/1023/2015	flu	EPI730959	2015-09-30	southeast_asia	laos	laos	laos	cell	?	male	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention
A/Oman/5011/2015	flu	EPI731233	2015-09-30	west_asia	oman	oman	oman	cell	32y	male	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre
A/Oman/5039/2015	flu	EPI731235	2015-09-30	west_asia	oman	oman	oman	cell	53y	female	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre
A/Colombia/6352/2015	flu	EPI752193	2015-09-30	south_america	colombia	colombia	colombia	cell	1y	female	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention
A/Nonthaburi/128/2015	flu	EPI710329	2015-09-30	southeast_asia	thailand	nonthaburi	nonthaburi	cell	43y	male	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention
A/BurkinaFaso/DO1630/2015	flu	EPI1020104	2015-09-30	africa	burkina_faso	burkina_faso	burkina_faso	unpassaged	?	?	Institut De Recherche En Sciences De La Santé (irss)	Luxembourg Institute Of Health
A/Mexico/2117/2015	flu	EPI747131	2015-09-30	north_america	mexico	mexico	mexico	cell	7y	male	Laboratorio De Virus Respiratorio	Centers For Disease Control And Prevention
A/Victoria/1014/2015	flu	EPI750814	2015-09-30	oceania	australia	victoria	victoria	cell	?	female	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Niigata-C/46/2015	flu	EPI674588	2015-10-01	japan_korea	japan	niigata	niigata	cell	47y	female	Niigata City Institute Of Public Health And Environment	National Institute Of Infectious Diseases (niid)
A/Chanthaburi/116/2015	flu	EPI710153	2015-10-01	southeast_asia	thailand	chanthaburi	chanthaburi	cell	26y	female	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention
A/Linares/71226/2015	flu	EPI688133	2015-10-01	south_america	chile	maule	linares	unpassaged	9y	female	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention
A/Alberta/RV2382/2015	flu	EPI685799	2015-10-01	north_america	canada	alberta	alberta	cell	64y	male	National Microbiology Laboratory, Health Canada	Centers For Disease Control And Prevention
A/Paris/1787/2015	flu	EPI678105	2015-10-02	europe	france	ile_de_france	paris	undetermined	24y	male	?	Institut Pasteur
A/England/54380710/2015	flu	EPI679229	2015-10-02	europe	united_kingdom	england	leicester	unpassaged	?	?	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
A/Cameroon/15V-7134/2015	flu	EPI746009	2015-10-02	africa	cameroon	cameroon	cameroon	cell	?	male	Centre Pasteur Du Cameroun	Crick Worldwide Influenza Centre
A/Iran/105051/2015	flu	EPI693005	2015-10-02	west_asia	iran	iran	iran	cell	50y	male	Tehran University Of Medical Sciences	Crick Worldwide Influenza Centre
A/Norway/2605/2015	flu	EPI667290	2015-10-02	europe	norway	norway	norway	unpassaged	52y	female	Who National Influenza Centre	Norwegian Institute Of Public Health
A/Santiago/70910/2015	flu	EPI688125	2015-10-02	south_america	chile	santiago	santiago	unpassaged	10y	male	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Bangladesh/1002002/2015	flu	EPI715162	2015-10-03	south_asia	bangladesh	bangladesh	bangladesh	cell	60y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Ontario/RV2412/2015	flu	EPI702080	2015-10-03	north_america	canada	ontario	ontario	cell	58y	female	National Microbiology Laboratory, Health Canada	Centers For Disease Control And Prevention
A/Bangladesh/1151/2015	flu	EPI746800	2015-10-03	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	22y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Tokyo/15333/2015	flu	EPI699882	2015-10-03	japan_korea	japan	tokyo	tokyo	cell	55y	female	Tokyo Metropolitan Institute Of Public Health	National Institute Of Infectious Diseases (niid)
A/England/54180241/2015	flu	EPI679310	2015-10-04	europe	united_kingdom	england	manchester	unpassaged	?	?	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
A/Bangladesh/1010001/2015	flu	EPI746848	2015-10-04	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	56y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Yunnan-Guandu/11110/2015	flu	EPI697410	2015-10-04	china	china	yunnan	yunnan	cell	36y	female	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Niigata/1057/2015	flu	EPI699938	2015-10-04	japan_korea	japan	niigata	niigata	cell	3y	female	Niigata Prefectural Institute Of Public Health And Environmental Sciences	National Institute Of Infectious Diseases (niid)
A/Lao/I1054/2015	flu	EPI706593	2015-10-05	southeast_asia	laos	laos	laos	cell	4y	male	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Lao/I1056/2015	flu	EPI706601	2015-10-05	southeast_asia	laos	laos	laos	cell	1y	female	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Lao/1047/2015	flu	EPI730967	2015-10-05	southeast_asia	laos	laos	laos	cell	10y	male	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention
A/Fukushima/78/2015	flu	EPI678221	2015-10-05	japan_korea	japan	fukushima	fukushima	cell	44y	female	Fukushima Prefectural Institute Of Public Health	National Institute Of Infectious Diseases (niid)
A/Bangladesh/1005001/2015	flu	EPI746808	2015-10-05	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	?	female	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Bangladesh/1014003/2015	flu	EPI770865	2015-10-05	south_asia	bangladesh	bangladesh	bangladesh	cell	30y	female	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/SaoPaulo/13-8487/2015	flu	EPI680507	2015-10-05	south_america	brazil	sao_paulo	aracatuba	unpassaged	66y	female	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Yunnan-Hongta/11097/2015	flu	EPI702103	2015-10-05	china	china	yunnan	yunnan	cell	53y	female	Who Chinese National Influenza Center	Centers For Disease Control And Prevention
A/Peru/5790/2015	flu	EPI675105	2015-10-05	south_america	peru	peru	peru	unpassaged	49y	female	Us Namru 6	Centers For Disease Control And Prevention
A/Hawaii/70/2015	flu	EPI677337	2015-10-05	north_america	usa	hawaii	hawaii	cell	61y	female	State of Hawaii Department of Health	Centers for Disease Control and Prevention
A/PuertoRico/33/2015	flu	EPI688949	2015-10-05	north_america	puerto_rico	puerto_rico	puerto_rico	unpassaged	61y	female	Puerto Rico Department Of Health	Centers For Disease Control And Prevention
A/PuertoRico/37/2015	flu	EPI688981	2015-10-05	north_america	puerto_rico	puerto_rico	puerto_rico	unpassaged	51y	female	Puerto Rico Department Of Health	Centers For Disease Control And Prevention
A/Alaska/256/2015	flu	EPI671142	2015-10-05	north_america	usa	alaska	alaska	unpassaged	84y	female	Alaska State Virology Lab	Centers For Disease Control And Prevention
A/Bangladesh/1010002/2015	flu	EPI746856	2015-10-05	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	5y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Valdivia/72413/2015	flu	EPI679043	2015-10-06	south_america	chile	los_rios	valdivia	undetermined	11y	female	Instituto De Salud Publica De Chile 	Instituto De Salud Publica De Chile
A/Nonthaburi/129/2015	flu	EPI710337	2015-10-06	southeast_asia	thailand	nonthaburi	nonthaburi	cell	84y	male	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention
A/Lao/O719/2015	flu	EPI672279	2015-10-06	southeast_asia	laos	laos	laos	cell	29y	male	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Baleares/1656/2015	flu	EPI672782	2015-10-06	europe	spain	balearic_islands	baleares	unpassaged	89y	male	Servicio De Microbiología Hospital Universitario Son Espases	Instituto De Salud Carlos Iii
A/BurkinaFaso/1633/2015	flu	EPI729946	2015-10-06	africa	burkina_faso	burkina_faso	burkina_faso	unpassaged	4y	female	Irss	Centers For Disease Control And Prevention
A/Chanthaburi/133/2015	flu	EPI715261	2015-10-07	southeast_asia	thailand	chanthaburi	chanthaburi	cell	83y	female	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention
A/Anhui-Bangshan/12004/2015	flu	EPI697473	2015-10-07	china	china	anhui	anhui	cell	5y	male	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Nonthaburi/123/2015	flu	EPI710321	2015-10-07	southeast_asia	thailand	nonthaburi	nonthaburi	cell	28y	female	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention
A/Lao/439/2015	flu	EPI730991	2015-10-07	southeast_asia	laos	laos	laos	cell	11y	female	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention
A/Sydney/216/2015	flu	EPI750862	2015-10-07	oceania	australia	new_south_wales	sydney	cell	?	male	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Brazil/636/2015	flu	EPI688227	2015-10-07	south_america	brazil	brazil	brazil	unpassaged	23y	female	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Centers For Disease Control And Prevention
A/Bangladesh/1005002/2015	flu	EPI746832	2015-10-07	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	?	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Mali/215CH/2015	flu	EPI688878	2015-10-07	africa	mali	mali	mali	cell	?	male	Nic Lab Cvd Mali	Centers For Disease Control And Prevention
A/Tokyo/15345/2015	flu	EPI699884	2015-10-07	japan_korea	japan	tokyo	tokyo	cell	41y	male	Tokyo Metropolitan Institute Of Public Health	National Institute Of Infectious Diseases (niid)
A/SouthAustralia/146/2015	flu	EPI750822	2015-10-07	oceania	australia	south_australia	south_australia	cell	?	male	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Colombia/6276/2015	flu	EPI711035	2015-10-08	south_america	colombia	colombia	colombia	unpassaged	5y	female	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention
A/Cameroon/15V-7288/2015	flu	EPI1074802	2015-10-08	africa	cameroon	cameroon	cameroon	unpassaged	?	?	?	Other Database Import
A/WestVirginia/23/2015	flu	EPI673824	2015-10-08	north_america	usa	west_virginia	west_virginia	unpassaged	2y	female	West Virginia Office Of Laboratory Services	Centers For Disease Control And Prevention
A/Darwin/1000/2015	flu	EPI750818	2015-10-08	oceania	australia	northern_territory	darwin	cell	?	female	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/SouthAustralia/142/2015	flu	EPI750804	2015-10-08	oceania	australia	south_australia	south_australia	cell	?	female	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/SouthAustralia/144/2015	flu	EPI750808	2015-10-08	oceania	australia	south_australia	south_australia	cell	?	male	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Stockholm/44/2015	flu	EPI669984	2015-10-09	europe	sweden	stockholm	stockholm	unpassaged	29y	female	?	Swedish Institute For Infectious Disease Control
A/Hawaii/71/2015	flu	EPI677345	2015-10-09	north_america	usa	hawaii	hawaii	unpassaged	18y	female	State Of Hawaii Department Of Health	Centers For Disease Control And Prevention
A/Stockholm/45/2015	flu	EPI670000	2015-10-09	europe	sweden	stockholm	stockholm	unpassaged	73y	female	?	Swedish Institute For Infectious Disease Control
A/NuevaImperial/72930/2015	flu	EPI679044	2015-10-09	south_america	chile	araucania	nueva_imperial	undetermined	10y	male	Instituto De Salud Publica De Chile 	Instituto De Salud Publica De Chile
A/Jiangsu-Nanjinggulou/13276/2015	flu	EPI697481	2015-10-09	china	china	jiangsu	jiangsu	cell	40y	male	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Colombia/6308/2015	flu	EPI711043	2015-10-09	south_america	colombia	colombia	colombia	unpassaged	89y	female	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention
A/SouthAustralia/145/2015	flu	EPI750810	2015-10-09	oceania	australia	south_australia	south_australia	cell	?	male	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Tokyo/15347/2015	flu	EPI699886	2015-10-09	japan_korea	japan	tokyo	tokyo	cell	32y	female	Tokyo Metropolitan Institute Of Public Health	National Institute Of Infectious Diseases (niid)
A/Oman/4681/2015	flu	EPI731225	2015-10-10	west_asia	oman	oman	oman	cell	74y	male	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre
A/Colombia/6443/2015	flu	EPI715285	2015-10-10	south_america	colombia	colombia	colombia	unpassaged	1y	female	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention
A/Temuco/72972/2015	flu	EPI679045	2015-10-10	south_america	chile	araucania	temuco	undetermined	31y	female	Instituto De Salud Publica De Chile 	Instituto De Salud Publica De Chile
A/Canberra/101/2015	flu	EPI957058	2015-10-10	oceania	australia	canberra	canberra	unpassaged	?	male	Canberra Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Colombia/6372/2015	flu	EPI722545	2015-10-10	south_america	colombia	colombia	colombia	cell	2y	male	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention
A/Colombia/6438/2015	flu	EPI715277	2015-10-10	south_america	colombia	colombia	colombia	unpassaged	19y	male	Instituto Nacional De Salud De Columbia	Centers For Disease Control And Prevention
A/Sydney/221/2015	flu	EPI750864	2015-10-11	oceania	australia	new_south_wales	sydney	cell	?	male	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/SaoPaulo/4-21208/2015	flu	EPI680508	2015-10-11	south_america	brazil	sao_paulo	marilia	unpassaged	73y	female	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Concepcion/73962/2015	flu	EPI679048	2015-10-12	south_america	chile	bio_bio	concepcion	undetermined	82y	female	Instituto De Salud Publica De Chile 	Instituto De Salud Publica De Chile
A/Maine/41/2015	flu	EPI670998	2015-10-12	north_america	usa	maine	maine	unpassaged	67y	female	Maine Health And Environmental Testing Laboratory	Centers For Disease Control And Prevention
A/SouthAustralia/1036/2015	flu	EPI750832	2015-10-12	oceania	australia	south_australia	south_australia	cell	?	male	Institute Of Medical And Veterinary Science (imvs)	Who Collaborating Centre For Reference And Research On Influenza
A/Nonthaburi/131/2015	flu	EPI710345	2015-10-12	southeast_asia	thailand	nonthaburi	nonthaburi	cell	59y	male	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Centers For Disease Control And Prevention
A/Bangladesh/1006002/2015	flu	EPI746840	2015-10-12	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	3y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Sydney/183/2015	flu	EPI750894	2015-10-13	oceania	australia	new_south_wales	sydney	cell	?	female	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Temuco/75349/2015	flu	EPI688141	2015-10-13	south_america	chile	araucania	temuco	unpassaged	10y	female	Instituto De Salud Publica De Chile 	Centers For Disease Control And Prevention
A/Anhui-Yingzhou/12324/2015	flu	EPI697478	2015-10-13	china	china	anhui	anhui	cell	60y	female	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Bangladesh/1005009/2015	flu	EPI746824	2015-10-13	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	25y	male	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Bangladesh/5008/2015	flu	EPI746816	2015-10-13	south_asia	bangladesh	bangladesh	bangladesh	unpassaged	19y	female	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)	Centers For Disease Control And Prevention
A/Mali/219CH/2015	flu	EPI698378	2015-10-13	africa	mali	mali	mali	cell	2y	female	Nic Lab Cvd Mali	Centers For Disease Control And Prevention
A/Lao/I1066/2015	flu	EPI706609	2015-10-13	southeast_asia	laos	laos	laos	cell	39y	female	Ministry Of Health Laos	National Institute Of Infectious Diseases (niid)
A/Oman/5357/2015	flu	EPI731241	2015-10-13	west_asia	oman	oman	oman	cell	66y	male	Central Public Health Laboratory, Ministry Of Health	Crick Worldwide Influenza Centre
A/Shanghai-Pudongxin/11627/2015	flu	EPI697324	2015-10-13	china	china	shanghai	shanghai	cell	60y	female	Who Chinese National Influenza Center	Who Chinese National Influenza Center
A/Lao/448/2015	flu	EPI730998	2015-10-13	southeast_asia	laos	laos	laos	cell	?	female	National Center For Laboratory And Epidemiology	Centers For Disease Control And Prevention
A/Vietnam/146/2015	flu	EPI715676	2015-10-13	southeast_asia	vietnam	vietnam	vietnam	cell	4y	female	National Institute Of Hygiene And Epidemiology	Centers For Disease Control And Prevention
A/Brisbane/183/2015	flu	EPI765137	2015-10-13	oceania	australia	queensland	brisbane	cell	25y	female	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
